country,market_segment_id,distribution_channel_id,deposit_type,agent,days_in_waiting_list,customer_type,Booking_id
ESP,3,3,No Deposit,240,0,Transient,10e5718c
PRT,3,3,No Deposit,241,0,Transient,467d6de3
PRT,3,3,No Deposit,241,0,Transient,0d7403c1
ROU,1,1,No Deposit,250,0,Transient,1d237419
PRT,3,3,No Deposit,241,0,Transient,b2a4c089
IRL,4,3,No Deposit,8,0,Contract,60abc79b
ESP,1,1,No Deposit,0,0,Transient,2ddf4d79
ROU,1,1,No Deposit,250,0,Transient,0da2d45f
PRT,3,3,No Deposit,240,0,Transient,c08a3598
PRT,3,3,No Deposit,240,0,Transient,cd4f7d16
ESP,4,3,No Deposit,134,0,Transient,4793ad3b
NOR,4,3,No Deposit,156,0,Transient-Party,557a1b4c
GBR,4,3,No Deposit,243,0,Contract,237ab07f
IRL,3,3,No Deposit,241,0,Transient,08b85fc7
NOR,4,3,No Deposit,156,0,Transient-Party,8f1a787e
IRL,4,3,No Deposit,156,0,Contract,9e860227
OMN,4,3,No Deposit,243,0,Contract,408b2ba2
ESP,3,3,No Deposit,240,0,Transient,fb70f437
ARG,3,3,No Deposit,240,0,Transient,e2ba2d15
ESP,1,1,No Deposit,0,0,Transient,2305467d
PRT,1,1,No Deposit,0,0,Transient,70c35ecf
PRT,3,3,No Deposit,240,0,Transient,bd52b005
PRT,1,1,No Deposit,0,0,Transient,dcbe767c
USA,3,3,No Deposit,242,0,Transient,010e3df0
PRT,3,3,No Deposit,241,0,Transient,632bf978
IRL,3,3,No Deposit,240,0,Transient,526556ef
ESP,1,1,No Deposit,250,0,Transient,6b6158d2
IRL,4,3,No Deposit,115,0,Contract,9c70a184
PRT,3,3,No Deposit,240,0,Transient,588c3d6e
USA,3,3,No Deposit,240,0,Transient,db0edda6
ESP,3,3,No Deposit,240,0,Transient,d37366fb
POL,3,3,No Deposit,242,0,Transient,bf98a391
PRT,4,3,No Deposit,242,0,Transient,a2216db6
PRT,3,3,No Deposit,240,0,Transient,f10c35d2
PRT,3,3,No Deposit,240,0,Transient,7779f7f3
PRT,3,3,No Deposit,240,0,Transient,27c55849
PRT,4,3,No Deposit,3,0,Transient,70cc0c7d
ESP,3,3,No Deposit,240,0,Transient,646a1e05
PRT,3,3,No Deposit,242,0,Transient,1b85efb8
ESP,3,3,No Deposit,240,0,Transient,2a503e91
PRT,3,3,No Deposit,240,0,Transient,3fd16a08
PRT,3,3,No Deposit,240,0,Transient,25654828
DEU,4,3,No Deposit,105,0,Transient,c67202ed
PRT,4,3,No Deposit,5,0,Transient,ddbd5d04
FRA,4,3,No Deposit,40,0,Contract,5f6d3b79
PRT,4,3,No Deposit,40,0,Contract,dd97bc1d
GBR,4,3,No Deposit,40,0,Contract,98cc1bf5
PRT,1,1,No Deposit,250,0,Transient,19b34869
GBR,4,3,No Deposit,115,0,Contract,504c9577
GBR,4,3,No Deposit,40,0,Contract,c1eaee54
GBR,3,3,No Deposit,241,0,Transient,87aa9bb6
PRT,4,3,No Deposit,242,0,Transient,60441878
GBR,3,3,No Deposit,240,0,Transient,3e23a565
PRT,3,3,No Deposit,240,0,Transient,62427814
ESP,3,3,No Deposit,240,0,Transient,04a2ecbf
PRT,3,3,No Deposit,240,0,Transient,2f8b32f3
USA,3,3,No Deposit,241,0,Transient,c12d68d5
BEL,3,3,No Deposit,240,0,Transient,274ab2db
PRT,3,3,No Deposit,240,0,Transient,472ee08c
PRT,3,3,No Deposit,240,0,Transient,528e7c59
PRT,3,3,No Deposit,242,0,Transient,fe651950
ESP,4,3,No Deposit,105,0,Transient,1c3b01c9
PRT,3,3,No Deposit,240,0,Transient,ebacce05
DEU,1,1,No Deposit,250,0,Transient,48fc3332
ESP,1,1,No Deposit,250,0,Transient,7850fc1f
FRA,4,3,No Deposit,8,0,Transient,5b157ad3
FRA,4,3,No Deposit,241,0,Transient,0032615c
PRT,3,3,No Deposit,240,0,Transient,dce18b19
PRT,3,3,No Deposit,240,0,Transient,338cb75c
PRT,3,3,No Deposit,240,0,Transient,3a4e2a20
PRT,1,1,No Deposit,250,0,Transient,f6736ded
PRT,3,3,No Deposit,240,0,Transient,ce511d39
PRT,4,3,No Deposit,134,0,Transient,278157ff
PRT,3,3,No Deposit,240,0,Transient,629a3709
CHE,3,3,No Deposit,240,0,Transient,f68f234d
PRT,3,3,No Deposit,240,0,Transient,c793a96d
GBR,3,3,No Deposit,147,0,Transient,cd601f4e
PRT,3,3,No Deposit,241,0,Transient,3be32bde
PRT,3,3,No Deposit,240,0,Transient,6ac93fb2
PRT,3,3,No Deposit,240,0,Transient,813b65e6
GBR,4,3,No Deposit,40,0,Contract,9065e4a6
PRT,4,3,No Deposit,40,0,Contract,c9e2d9e4
PRT,1,1,No Deposit,250,0,Transient,01a19a3f
PRT,3,3,No Deposit,240,0,Transient,aaae2cf6
PRT,4,3,No Deposit,8,0,Contract,d360c094
PRT,3,3,No Deposit,240,0,Transient,e3019d2e
PRT,1,1,No Deposit,250,0,Transient,ee8181f4
PRT,3,3,No Deposit,240,0,Transient,49c4413b
PRT,3,3,No Deposit,240,0,Transient,fa230347
PRT,5,1,No Deposit,0,0,Transient,6721466e
ESP,3,3,No Deposit,240,0,Transient,06d25c4f
FRA,3,3,No Deposit,240,0,Transient-Party,27da6ca1
PRT,3,3,No Deposit,240,0,Transient,3a37a857
FRA,3,3,No Deposit,240,0,Transient-Party,9f2f49ef
FRA,3,3,No Deposit,240,0,Transient-Party,bcc63a80
ESP,3,3,No Deposit,240,0,Transient,1891126a
PRT,3,3,No Deposit,240,0,Transient,01bf8569
ESP,3,3,No Deposit,306,0,Transient,4510280e
DEU,3,3,No Deposit,184,0,Transient,a05bfb71
PRT,3,3,No Deposit,240,0,Transient,1a19cc5f
PRT,3,3,No Deposit,240,0,Transient,0323b427
DEU,3,3,No Deposit,184,0,Transient,d412b73a
PRT,3,3,No Deposit,240,0,Transient,dfa41554
PRT,1,1,No Deposit,0,0,Transient,6a9f905d
PRT,3,3,No Deposit,240,0,Transient,9bd0621a
FRA,3,3,No Deposit,240,0,Transient,496a5458
ESP,3,3,No Deposit,240,0,Transient,13606a77
CN,4,3,No Deposit,241,0,Transient,8bced64a
ESP,3,3,No Deposit,240,0,Transient,c1b1382d
PRT,3,3,No Deposit,240,0,Transient,2d4af4c2
ESP,3,3,No Deposit,240,0,Transient,ff8d7f7c
PRT,3,3,No Deposit,240,0,Transient,97a6a7bb
PRT,3,3,No Deposit,240,0,Transient,48f1ebc8
PRT,4,3,No Deposit,15,0,Transient,6b2fe923
PRT,1,1,No Deposit,250,0,Transient,6bacd2de
IRL,3,3,No Deposit,241,0,Transient,49f79e25
PRT,3,3,No Deposit,240,0,Transient,54c84de5
ESP,4,3,No Deposit,175,0,Transient,1671256a
CHE,3,3,No Deposit,240,0,Transient,f0f0cd91
PRT,4,3,No Deposit,5,0,Transient,d71f201f
PRT,1,1,No Deposit,0,0,Transient,f17c00a5
GBR,4,3,No Deposit,40,0,Contract,cdfd781b
GBR,4,3,No Deposit,40,0,Contract,1e227973
GBR,4,3,No Deposit,243,0,Contract,62d6f2a4
PRT,3,3,No Deposit,240,0,Transient,d62ecc8c
PRT,3,3,No Deposit,240,0,Transient,1b504d69
USA,3,3,No Deposit,241,0,Transient,d07a7cd7
CN,4,3,No Deposit,96,0,Transient,615ab0bd
CHE,1,1,No Deposit,250,0,Transient,43d326eb
PRT,3,3,No Deposit,240,0,Transient,0e883243
USA,3,3,No Deposit,241,0,Transient,d1650a8e
PRT,3,3,No Deposit,240,0,Transient,fa2499bd
PRT,1,1,No Deposit,250,0,Transient,3a68f1c5
PRT,1,1,No Deposit,0,0,Transient,940b6136
PRT,3,3,No Deposit,240,0,Transient,06e41c01
USA,3,3,No Deposit,240,0,Transient,fd70e51d
GRC,3,3,No Deposit,240,0,Transient,c967afaf
PRT,3,3,No Deposit,240,0,Transient,71d4dd48
PRT,4,3,No Deposit,175,0,Transient,c66fbb65
PRT,3,3,No Deposit,240,0,Transient,d6002a54
PRT,3,3,No Deposit,240,0,Transient,b5ac192a
PRT,1,1,No Deposit,250,0,Transient,ef49a803
ESP,3,3,No Deposit,240,0,Transient,e25fa754
PRT,3,3,No Deposit,240,0,Transient,275b6cfc
PRT,3,3,No Deposit,240,0,Transient,018ff60a
PRT,4,3,No Deposit,175,0,Transient,b9604544
GBR,4,3,No Deposit,2,0,Contract,254a7db3
PRT,3,3,No Deposit,240,0,Transient,2c55569a
PRT,3,3,No Deposit,240,0,Transient,2.33E+52
GBR,4,3,No Deposit,242,0,Transient,9632730
GBR,4,3,No Deposit,241,0,Transient,51e7d14f
PRT,1,1,No Deposit,250,0,Transient,f368033f
GBR,4,3,No Deposit,156,0,Contract,93fed9b9
FRA,1,1,No Deposit,0,0,Transient,7e2c832d
ITA,4,3,No Deposit,8,0,Contract,5783c069
GBR,4,3,No Deposit,40,0,Contract,a81a8267
PRT,4,3,No Deposit,127,0,Transient,27f86752
PRT,3,3,No Deposit,240,0,Transient,6ed86b7e
ESP,3,3,No Deposit,240,0,Transient,741d8280
PRT,1,1,No Deposit,250,0,Transient,b2c24afc
PRT,1,1,No Deposit,0,0,Transient,d663b5ed
PRT,3,3,No Deposit,240,0,Transient,de833a51
GBR,3,3,No Deposit,240,0,Transient,e5210040
PRT,1,1,No Deposit,0,0,Transient,1456be29
GBR,3,3,No Deposit,240,0,Transient,01024f0d
ESP,3,3,No Deposit,240,0,Transient,da0654e1
PRT,3,3,No Deposit,240,0,Transient,d3d78806
USA,4,3,No Deposit,95,0,Transient,e3394a51
NLD,1,1,No Deposit,0,0,Transient,aaf74177
PRT,4,3,No Deposit,134,0,Transient,d7cccdca
PRT,3,3,No Deposit,240,0,Transient,5ade7da9
IRL,4,3,No Deposit,8,0,Transient,09d152af
PRT,4,3,No Deposit,2,0,Contract,f139cf97
IRL,4,3,No Deposit,156,0,Contract,4eb09d39
GBR,3,3,No Deposit,240,0,Transient,647bd561
PRT,3,3,No Deposit,240,0,Transient,03ec867a
ESP,3,3,No Deposit,240,0,Transient,052bfe83
PRT,3,3,No Deposit,240,0,Transient,12b5054b
ESP,3,3,No Deposit,240,0,Transient,db636899
PRT,4,3,No Deposit,105,0,Transient,44497f52
PRT,3,3,No Deposit,240,0,Transient,564740d8
PRT,4,3,No Deposit,146,0,Transient,2f9880fa
PRT,2,2,No Deposit,0,0,Transient,d3cbb520
PRT,2,2,No Deposit,0,0,Transient,8ada3b1c
CHE,2,2,No Deposit,0,0,Transient,e5fe5538
PRT,1,1,No Deposit,9,0,Transient,f8c2c761
PRT,1,1,No Deposit,250,0,Transient,99a07436
PRT,4,3,No Deposit,40,0,Contract,57f35013
GBR,3,3,No Deposit,240,0,Transient,245d6e16
GBR,4,3,No Deposit,40,0,Contract,f019bce5
PRT,3,3,No Deposit,240,0,Transient,680d28a1
IRL,1,1,No Deposit,250,0,Transient,eb901a99
DNK,3,3,No Deposit,240,0,Transient-Party,504cecef
DNK,3,3,No Deposit,240,0,Transient-Party,7e60ea35
PRT,3,3,No Deposit,242,0,Transient,33f2138c
ARG,1,1,No Deposit,250,0,Transient,c0e689c9
PRT,1,1,No Deposit,0,0,Transient,90011cc8
PRT,1,1,No Deposit,250,0,Transient,82b25e0d
PRT,3,3,No Deposit,242,0,Transient,de6dcaa8
PRT,3,3,No Deposit,240,0,Transient,864eafce
PRT,3,3,No Deposit,240,0,Transient,30bbabd4
PRT,3,3,No Deposit,240,0,Transient,6fff77f6
PRT,3,3,No Deposit,240,0,Transient,69717f54
RUS,1,1,No Deposit,250,0,Transient,bb494003
SWE,3,3,No Deposit,241,0,Transient,e72c9de6
POL,4,3,No Deposit,177,0,Transient,76d52d80
FRA,4,3,No Deposit,6,0,Transient,3c395cd5
GBR,4,3,No Deposit,40,0,Contract,0adacbbd
GBR,4,3,No Deposit,143,0,Contract,60bb551e
GBR,4,3,No Deposit,40,0,Contract,fd2ab7fc
PRT,3,3,No Deposit,240,0,Transient,0d43ed72
PRT,3,3,No Deposit,240,0,Transient,4dd46563
USA,1,1,No Deposit,250,0,Transient,8f6c4f2f
PRT,3,3,No Deposit,240,0,Transient,7cf62420
PRT,3,3,No Deposit,240,0,Transient,c6e06a07
PRT,3,3,No Deposit,240,0,Transient,a14bb4b9
PRT,3,3,No Deposit,240,0,Transient,d173c44c
PRT,3,3,No Deposit,240,0,Transient,abe798dc
PRT,3,3,No Deposit,240,0,Transient,b611ad27
PRT,3,3,No Deposit,240,0,Transient,1e8f236d
PRT,3,3,No Deposit,240,0,Transient,fb586f5e
GBR,3,3,No Deposit,105,0,Transient,2809f78a
AUS,1,1,No Deposit,250,0,Transient,6d02a1b3
GBR,3,3,No Deposit,240,0,Transient,9dceae8c
PRT,1,1,No Deposit,0,0,Transient-Party,328032cc
PRT,1,1,No Deposit,0,0,Transient-Party,3a4a1c15
PRT,3,3,No Deposit,240,0,Transient,df25299c
POL,3,3,No Deposit,240,0,Transient,c011a271
PRT,1,1,No Deposit,250,0,Transient,92d33115
EST,3,3,No Deposit,240,0,Transient,3de66325
PRT,3,3,No Deposit,240,0,Transient,684157b3
PRT,1,1,No Deposit,250,0,Transient,71751990
PRT,3,3,No Deposit,240,0,Transient,2697961e
PRT,3,3,No Deposit,240,0,Transient,4051fb1a
RUS,4,3,No Deposit,244,0,Transient,177a488e
GBR,3,3,No Deposit,241,0,Transient,47a75fe0
PRT,4,3,No Deposit,5,0,Transient,a2b0e8a5
PRT,1,1,No Deposit,250,0,Transient,8d8fbab5
IRL,3,3,No Deposit,240,0,Transient,867684d2
PRT,3,3,No Deposit,240,0,Transient,90c9eb67
GBR,3,3,No Deposit,241,0,Transient,dc90fc28
DNK,3,3,No Deposit,241,0,Transient,870691c4
GBR,3,3,No Deposit,241,0,Transient,ca84e268
GBR,3,3,No Deposit,241,0,Transient,bea1191d
PRT,4,3,No Deposit,149,0,Transient,ecf00639
ESP,3,3,No Deposit,240,0,Transient,1ac5382e
PRT,1,3,No Deposit,240,0,Transient,a6f22308
PRT,3,3,No Deposit,240,0,Transient,81883ab1
PRT,4,3,No Deposit,15,0,Transient,82a77807
ESP,3,3,No Deposit,240,0,Transient,1c1cab2a
PRT,1,1,No Deposit,250,0,Transient,83a6ea97
PRT,3,3,No Deposit,240,0,Transient,fd40d2c8
GBR,3,3,No Deposit,241,0,Transient,093973c0
PRT,3,3,No Deposit,240,0,Transient,7e8e454d
CZE,3,3,No Deposit,240,0,Transient,112169d9
GBR,1,1,No Deposit,0,0,Transient,7c8dbbc6
DEU,3,3,No Deposit,240,0,Transient,89cb2b47
ESP,1,1,No Deposit,0,0,Transient,cbaee1eb
ESP,3,3,No Deposit,240,0,Transient,496cf1ee
PRT,2,2,No Deposit,0,0,Transient,5b3735ca
ESP,4,3,No Deposit,175,0,Transient,c5255d4f
ROU,3,3,No Deposit,242,0,Transient,5a61cf36
PRT,3,3,No Deposit,240,0,Transient,72cbda39
ESP,3,3,No Deposit,240,0,Transient,61aba4e7
PRT,4,3,No Deposit,5,0,Transient,9e3846f9
PRT,3,3,No Deposit,242,0,Transient,d8c5b1f7
PRT,3,3,No Deposit,240,0,Transient,eb19bd29
PRT,1,1,No Deposit,250,0,Transient,85b0e722
PRT,3,3,No Deposit,240,0,Transient,5c029a54
PRT,1,1,No Deposit,250,0,Transient,ac88d12b
PRT,3,3,No Deposit,240,0,Transient,3301b21d
CN,3,3,No Deposit,240,0,Transient,30a75397
PRT,3,3,No Deposit,240,0,Transient,4eaee2f4
PRT,3,3,No Deposit,240,0,Transient,65ccb5cb
PRT,3,3,No Deposit,240,0,Transient,9b29c4d3
GBR,3,3,No Deposit,240,0,Transient,f8927bff
BRA,4,3,No Deposit,243,0,Transient,0636ed04
PRT,4,3,No Deposit,5,0,Transient-Party,90804b51
ESP,4,3,No Deposit,156,0,Transient,4797e5e4
PRT,1,1,No Deposit,250,0,Transient,dae47628
GBR,4,3,No Deposit,115,0,Contract,3d43f4af
PRT,4,3,No Deposit,5,0,Transient-Party,fb58d652
PRT,4,3,No Deposit,40,0,Contract,5b2f2df3
GBR,4,3,No Deposit,243,0,Transient,1851bc8d
PRT,3,3,No Deposit,241,0,Transient,8dc4bc26
GBR,4,3,No Deposit,243,0,Transient,842136b4
ESP,3,3,No Deposit,240,0,Transient,0c6eba67
PRT,3,3,No Deposit,240,0,Transient,7ad5a74b
FRA,3,3,No Deposit,240,0,Transient,846d9668
PRT,3,3,No Deposit,240,0,Transient,73bcb777
GBR,4,3,No Deposit,243,0,Transient,07b3ce14
GBR,4,3,No Deposit,243,0,Contract,16ef348a
PRT,4,3,No Deposit,8,0,Contract,b3701097
GBR,4,3,No Deposit,147,0,Transient,b2da04b0
PRT,3,3,No Deposit,240,0,Transient,26d8a1f1
BEL,3,3,No Deposit,240,0,Transient,7b024b50
ESP,3,3,No Deposit,240,0,Transient,afa6b135
FRA,3,3,No Deposit,241,0,Transient,292a24b7
ESP,3,3,No Deposit,240,0,Transient,7963f16c
BEL,3,3,No Deposit,240,0,Transient,0b954b03
ITA,4,3,No Deposit,8,0,Contract,a5770bbe
ESP,3,3,No Deposit,240,0,Transient,642d974b
PRT,3,3,No Deposit,240,0,Transient,4e9cd66d
FRA,4,3,No Deposit,6,0,Transient,86b520df
FIN,3,3,No Deposit,240,0,Transient,7dc5dcbc
CN,1,1,No Deposit,250,0,Transient,f4c5bfe4
ESP,4,3,No Deposit,156,0,Contract,f04e7c25
PRT,3,3,No Deposit,241,0,Transient,0157e888
IRL,3,3,No Deposit,240,0,Transient,f9f2cfaa
ESP,3,3,No Deposit,240,0,Transient,589fb9d0
ESP,3,3,No Deposit,240,0,Transient,b71d3f64
PRT,4,3,No Deposit,134,0,Transient-Party,75c6400a
PRT,3,3,No Deposit,240,0,Transient,b3b37cc1
GBR,3,3,No Deposit,240,0,Transient,dc6d9ae5
ESP,3,3,No Deposit,240,0,Transient-Party,706c4b25
ESP,3,3,No Deposit,240,0,Transient,791d879d
AUS,3,3,No Deposit,240,0,Transient,7667064d
ESP,3,3,No Deposit,240,0,Transient-Party,822c8896
PRT,1,1,No Deposit,0,0,Transient,847b51ed
ESP,3,3,No Deposit,240,0,Transient,e600d166
ESP,3,3,No Deposit,147,0,Transient,5cd80633
PRT,3,3,No Deposit,240,0,Transient,207562bd
USA,3,3,No Deposit,240,0,Transient,ca9c892e
PRT,3,3,No Deposit,240,0,Transient,eb94f200
ESP,3,3,No Deposit,240,0,Transient,1e5f679f
PRT,3,3,No Deposit,240,0,Transient,4db9e997
ESP,1,1,No Deposit,250,0,Transient,b2eeac5c
PRT,2,2,No Deposit,167,0,Transient,3e01dfe9
PRT,4,3,No Deposit,15,0,Transient,42b0ef97
PRT,1,3,No Deposit,240,0,Transient,f2ba7224
ESP,1,1,No Deposit,250,0,Transient,e66734bb
PRT,4,3,No Deposit,156,0,Contract,2d5afc8c
PRT,1,1,No Deposit,0,0,Transient,deca39db
PRT,3,3,No Deposit,240,0,Transient,ccc7227b
PRT,3,3,No Deposit,240,0,Transient,872c330f
PRT,3,3,No Deposit,240,0,Transient,960a7ed8
ESP,1,1,No Deposit,250,0,Transient,456f92f9
PRT,1,1,No Deposit,0,0,Transient,e11f293c
PRT,3,3,No Deposit,240,0,Transient,bf232966
PRT,3,3,No Deposit,240,0,Transient,1177ab96
PRT,4,3,No Deposit,300,0,Transient,66dd0b76
FRA,3,3,No Deposit,240,0,Transient,ef1d6823
PRT,4,3,No Deposit,134,0,Transient-Party,e6251c4b
PRT,1,1,No Deposit,250,0,Transient,9f632fa1
ESP,1,1,No Deposit,250,0,Transient,c1487982
PRT,3,3,No Deposit,240,0,Transient,e680f600
ROU,3,3,No Deposit,240,0,Transient,2c1c42ba
ESP,3,3,No Deposit,240,0,Transient,e76371c4
FIN,4,3,No Deposit,8,0,Contract,728ba189
GBR,3,3,No Deposit,147,0,Transient,bc06fb76
PRT,4,3,No Deposit,171,0,Transient,227646cd
PRT,2,2,No Deposit,0,0,Transient,8ce7ba9d
PRT,3,3,No Deposit,240,0,Transient,f9a23107
PRT,3,3,No Deposit,240,0,Transient,1586cb75
PRT,3,3,No Deposit,240,0,Transient,1e9d24ae
ESP,3,3,No Deposit,240,0,Transient,745d82f4
POL,3,3,No Deposit,240,0,Transient,f19967c3
PRT,1,1,No Deposit,250,0,Transient,ed712df8
PRT,1,1,No Deposit,0,0,Transient-Party,19802676
PRT,1,1,No Deposit,0,0,Transient-Party,de468adf
PRT,1,3,No Deposit,240,0,Transient,753fbf5d
PRT,3,3,No Deposit,240,0,Transient,ef68e06a
ESP,3,3,No Deposit,240,0,Transient,b58a7c34
ESP,3,3,No Deposit,240,0,Transient,9a4b0cc7
PRT,4,3,No Deposit,242,0,Transient,133f8568
PRT,3,3,No Deposit,240,0,Transient,365b00af
IRL,1,1,No Deposit,0,0,Transient,5fef0eed
IRL,3,3,No Deposit,147,0,Transient,994cd709
SWE,3,3,No Deposit,241,0,Transient,98db49fc
SWE,3,3,No Deposit,241,0,Transient,4b501b9f
PRT,1,1,No Deposit,0,0,Transient,9edba63e
PRT,2,2,No Deposit,0,0,Transient,66d6cf31
PRT,4,3,No Deposit,171,0,Transient,0a6ee49c
PRT,3,3,No Deposit,240,0,Transient,04e4123f
POL,3,3,No Deposit,241,0,Transient,ef3c039f
PRT,3,3,No Deposit,240,0,Transient,a75350b7
GBR,3,3,No Deposit,240,0,Transient,e6da2caa
PRT,6,1,No Deposit,305,0,Transient-Party,d834c762
PRT,6,1,No Deposit,305,0,Transient-Party,454dbca8
PRT,6,1,No Deposit,305,0,Transient-Party,023642cd
PRT,6,1,No Deposit,305,0,Transient-Party,afa42f28
PRT,6,1,No Deposit,305,0,Transient,599da175
GBR,3,3,No Deposit,240,0,Transient,bd6e335d
PRT,6,1,No Deposit,305,0,Transient,fc4cafb6
PRT,6,1,No Deposit,305,0,Transient-Party,07a9db85
PRT,6,1,No Deposit,305,0,Transient-Party,64991d4c
PRT,6,1,No Deposit,305,0,Transient-Party,0bd0aa3e
PRT,6,1,No Deposit,305,0,Transient-Party,58e970fd
PRT,6,1,No Deposit,305,0,Transient-Party,6f93f83e
PRT,6,1,No Deposit,305,0,Transient,68cac95e
PRT,6,1,No Deposit,305,0,Transient,6f14d997
PRT,6,1,No Deposit,305,0,Transient-Party,bf49d4cb
PRT,6,1,No Deposit,305,0,Transient-Party,905ff81a
PRT,6,1,No Deposit,305,0,Transient-Party,af4d82ba
PRT,6,1,No Deposit,305,0,Transient,88657650
PRT,6,1,No Deposit,305,0,Transient,7dd753da
PRT,6,1,No Deposit,305,0,Transient-Party,0a1488ef
PRT,6,1,No Deposit,305,0,Transient-Party,e860d00e
PRT,3,3,No Deposit,240,0,Transient,f27f361a
DNK,3,3,No Deposit,240,0,Transient,7c7515c6
FIN,3,3,No Deposit,241,0,Transient,0a4a5ffb
PRT,1,1,No Deposit,146,0,Transient,73e81435
PRT,3,3,No Deposit,241,0,Transient,a854900f
USA,3,3,No Deposit,242,0,Transient,9bbdb5e4
PRT,1,1,No Deposit,0,0,Transient,c8f3bf4a
PRT,3,3,No Deposit,240,0,Transient,4702a48a
PRT,3,3,No Deposit,240,0,Transient,dca26a8a
DNK,3,3,No Deposit,240,0,Transient,a323f24e
ESP,1,1,No Deposit,250,0,Transient,201f676f
PRT,1,1,No Deposit,250,0,Transient,455c33b5
PRT,3,3,No Deposit,240,0,Transient,e36263a6
PRT,3,3,No Deposit,240,0,Transient,ef86b4d9
ESP,3,3,No Deposit,240,0,Transient,a58e7020
IRL,1,1,No Deposit,250,0,Transient-Party,7ae55107
PRT,1,1,No Deposit,0,0,Transient,ee2fcb1d
IRL,1,1,No Deposit,250,0,Transient-Party,c2167ed6
PRT,3,3,No Deposit,147,0,Transient,77bf5b99
PRT,3,3,No Deposit,240,0,Transient,fa3d9ee0
PRT,3,3,No Deposit,240,0,Transient,078c26fe
PRT,3,3,No Deposit,240,0,Transient,a55b4c30
GBR,4,3,No Deposit,243,0,Contract,7f28dead
PRT,4,3,No Deposit,67,0,Transient,bf924d5f
PRT,1,1,No Deposit,0,0,Transient,6070e4f9
PRT,3,3,No Deposit,240,0,Transient,8c8dbd06
PRT,1,1,No Deposit,0,0,Transient,1ec6ef85
PRT,3,3,No Deposit,240,0,Transient,d249b99a
PRT,3,3,No Deposit,240,0,Transient,7a9fffc6
PRT,4,3,No Deposit,196,0,Transient,f976afc2
PRT,3,3,No Deposit,240,0,Transient,e1144ef5
PRT,1,1,No Deposit,0,0,Transient,65afca9f
ESP,3,3,No Deposit,240,0,Transient,e275d748
PRT,3,3,No Deposit,241,0,Transient,ad45f361
PRT,1,1,No Deposit,0,0,Transient,e51222e6
ESP,1,1,No Deposit,250,0,Transient,b9a27df6
PRT,4,3,No Deposit,196,0,Transient,389d7e11
PRT,3,3,No Deposit,240,0,Transient,34c57eea
PRT,4,3,No Deposit,5,0,Transient,9de09c33
PRT,3,3,No Deposit,240,0,Transient,c6fe94c6
PRT,4,3,No Deposit,152,0,Transient-Party,6340577e
PRT,4,3,No Deposit,152,0,Transient-Party,29391116
ESP,1,1,No Deposit,250,0,Transient,966c76da
PRT,4,3,No Deposit,175,0,Transient-Party,8bd40f15
PRT,4,3,No Deposit,152,0,Transient-Party,b199a91a
PRT,4,3,No Deposit,152,0,Transient-Party,0d4d0025
PRT,4,3,No Deposit,175,0,Transient-Party,a3809a21
PRT,4,3,No Deposit,152,0,Transient-Party,549402c6
PRT,1,1,No Deposit,0,0,Transient,37d8933d
PRT,3,3,No Deposit,240,0,Transient,db2bf3d7
ESP,1,1,No Deposit,250,0,Transient,66454d70
